locality_key,display,lat,lon,display_name,state,class,type
chintadripet,Chintadripet,13.0761258,80.2707810,"Chintadripet, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600003, India",Tamil Nadu,,suburb
royapettah,Royapettah,13.0554718,80.2639706,"Royapettah, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600014, India",Tamil Nadu,,suburb
adikesavapuram,Adikesavapuram,,,,,,
bharathi salai,Bharathi Salai,13.0575980,80.2812821,"Bharathi Salai, CMWSSB Division 116, Ward 116, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,tertiary
triplicane,Triplicane,13.0604285,80.2750704,"Triplicane, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,suburb
thiruvatteeswaranpet,Thiruvatteeswaranpet,,,,,,
chepauk,Chepauk,13.0645131,80.2831179,"Chepauk, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600005, India",Tamil Nadu,,suburb
peters road,Peters Road,13.0532380,80.2713496,"Peters Road, CMWSSB Division 120, Ward 120, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600014, India",Tamil Nadu,,secondary
west cott road,West Cott Road,,,,,,
